scenario_id,planned,completed,failed,missing,coverage_fraction
state_non_regression__retained_immediate__backlog_forward_resume__standard,10,10,0,0,1.0
state_non_regression__retained_immediate__backlog_shock__standard,10,10,0,0,1.0
state_non_regression__transient_immediate__backlog_forward_resume__standard,10,10,0,0,1.0
state_non_regression__transient_immediate__backlog_shock__standard,10,10,0,0,1.0
