scenario_display_label,transient_attainment_rate,retained_attainment_rate,attainment_gap_retained_minus_transient,transient_omission_rate,retained_omission_rate,omission_gap_transient_minus_retained,transient_mean_tta,retained_mean_tta,transient_outage_exposed_expected_count,retained_outage_exposed_expected_count,transient_outage_exposed_seen_count,retained_outage_exposed_seen_count,transient_outage_exposed_seen_fraction,retained_outage_exposed_seen_fraction,transient_outage_unseen_count,retained_outage_unseen_count,transient_outage_drop_count,retained_outage_drop_count,transient_outage_drop_fraction,retained_outage_drop_fraction,transient_outage_loss_count,retained_outage_loss_count,transient_outage_loss_fraction,retained_outage_loss_fraction,transient_forward_resumption_count,retained_forward_resumption_count,transient_forward_resumption_adequacy,retained_forward_resumption_adequacy,transient_forward_resumption_after_loss_rate,retained_forward_resumption_after_loss_rate
backlog_shock,0.35,1.0,0.65,0.65,0.0,0.65,4.732876,7.324278,195.0,195.0,15.0,195.0,0.076923,1.0,180.0,0.0,15.0,0.0,0.076923,0.0,195.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backlog_shock_+_forward_resume,1.0,1.0,0.0,0.0,0.0,0.0,7.666958,7.661072,195.0,195.0,195.0,195.0,1.0,1.0,0.0,0.0,195.0,0.0,1.0,0.0,195.0,0.0,1.0,0.0,195.0,195.0,1.0,1.0,1.0,0.0
