scenario_id,boundary_type,family,severity,configuration,family_label,primary_role,primary_role_label,secondary_role,secondary_role_label,classification_confidence,primary_burden_region,primary_burden_region_label,secondary_burden_region,secondary_burden_region_label,mean_tta_mean,p95_mean,p99_mean,gap_cv_mean,cluster100_mean,bulk_window_mean,upper_bulk_window_mean,late_region_window_mean,tail_window_mean,straggler_window_mean,delta_mean_tta,delta_p95,delta_bulk_window,delta_upper_bulk_window,delta_late_region_window,delta_tail_window,delta_straggler_window,early_bulk_region_shift,main_bulk_region_shift,upper_bulk_region_shift,convergence_region_shift,tail_region_shift,straggler_region_shift,upper_bulk_displacement_score,convergence_vs_straggler_score,synchronized_vs_tail_score,concentration_vs_curve_shift_score,takeaway,role_reason
state_non_regression__retained_immediate__backlog_forward_resume__standard,state_non_regression,backlog_forward_resume,standard,retained_immediate,backlog shock + forward resume,unknown,unknown,,n/a,n/a,,n/a,,n/a,7.661072,8.512306,8.58432,0.739884,0.084333,0.937545,0.29643,0.386858,0.162442,0.072014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,backlog shock + forward resume shows a mixed burden pattern rather than one clearly dominant recovery burden.,
state_non_regression__retained_immediate__backlog_shock__standard,state_non_regression,backlog_shock,standard,retained_immediate,backlog shock,unknown,unknown,,n/a,n/a,,n/a,,n/a,7.324278,8.510713,8.51729,13.006934,0.436667,2.776977,0.028247,0.035746,0.014076,0.006577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,backlog shock shows a mixed burden pattern rather than one clearly dominant recovery burden.,
state_non_regression__transient_immediate__backlog_forward_resume__standard,state_non_regression,backlog_forward_resume,standard,transient_immediate,backlog shock + forward resume,unknown,unknown,,n/a,n/a,,n/a,,n/a,7.666958,8.508665,8.580015,0.610124,0.078,0.941273,0.275489,0.370773,0.166633,0.071349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,backlog shock + forward resume shows a mixed burden pattern rather than one clearly dominant recovery burden.,
state_non_regression__transient_immediate__backlog_shock__standard,state_non_regression,backlog_shock,standard,transient_immediate,backlog shock,unknown,unknown,,n/a,n/a,,n/a,,n/a,4.732876,4.99376,5.015792,0.203819,0.17619,0.297894,0.088647,0.116573,0.049991,0.022066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,backlog shock shows a mixed burden pattern rather than one clearly dominant recovery burden.,
