scenario_id,boundary_type,configuration,family,severity,attainment_t25_seconds_mean,attainment_t50_seconds_mean,attainment_t75_seconds_mean,attainment_t90_seconds_mean,attainment_t95_seconds_mean,attainment_t99_seconds_mean,early_bulk_window_25_to_50_seconds_mean,main_bulk_window_50_to_75_seconds_mean,bulk_window_25_to_75_seconds_mean,upper_bulk_window_75_to_90_seconds_mean,late_region_window_75_to_95_seconds_mean,tail_window_90_to_99_seconds_mean,straggler_window_95_to_99_seconds_mean,tail_to_bulk_ratio_mean,upper_bulk_to_bulk_ratio_mean,straggler_to_bulk_ratio_mean
state_non_regression__retained_immediate__backlog_forward_resume__standard,state_non_regression,retained_immediate,backlog_forward_resume,standard,7.187903,7.66086,8.125448,8.421878,8.512306,8.58432,0.472957,0.464588,0.937545,0.29643,0.386858,0.162442,0.072014,0.173912,0.318091,0.07705
state_non_regression__retained_immediate__backlog_shock__standard,state_non_regression,retained_immediate,backlog_shock,standard,5.697989,8.428931,8.474967,8.503214,8.510713,8.51729,2.730941,0.046036,2.776977,0.028247,0.035746,0.014076,0.006577,0.004891,0.009837,0.002274
state_non_regression__transient_immediate__backlog_forward_resume__standard,state_non_regression,transient_immediate,backlog_forward_resume,standard,7.196619,7.69596,8.137892,8.413382,8.508665,8.580015,0.499341,0.441932,0.941273,0.275489,0.370773,0.166633,0.071349,0.181915,0.299988,0.077898
state_non_regression__transient_immediate__backlog_shock__standard,state_non_regression,transient_immediate,backlog_shock,standard,4.584856,4.731672,4.88275,4.971397,4.999323,5.021389,0.146816,0.151078,0.297894,0.088647,0.116573,0.049991,0.022066,0.168201,0.298782,0.074216
