scenario_id,boundary_type,family,severity,configuration,attainment_t50_seconds_mean,attainment_t75_seconds_mean,attainment_t90_seconds_mean,attainment_t95_seconds_mean,attainment_t99_seconds_mean,early_bulk_window_25_to_50_seconds_mean,main_bulk_window_50_to_75_seconds_mean,upper_bulk_window_75_to_90_seconds_mean,late_region_window_75_to_95_seconds_mean,tail_window_90_to_99_seconds_mean,straggler_window_95_to_99_seconds_mean
state_non_regression__retained_immediate__backlog_forward_resume__standard,state_non_regression,backlog_forward_resume,standard,retained_immediate,7.66086,8.125448,8.421878,8.512306,8.58432,0.472957,0.464588,0.29643,0.386858,0.162442,0.072014
state_non_regression__retained_immediate__backlog_shock__standard,state_non_regression,backlog_shock,standard,retained_immediate,8.428931,8.474967,8.503214,8.510713,8.51729,2.730941,0.046036,0.028247,0.035746,0.014076,0.006577
state_non_regression__transient_immediate__backlog_forward_resume__standard,state_non_regression,backlog_forward_resume,standard,transient_immediate,7.69596,8.137892,8.413382,8.508665,8.580015,0.499341,0.441932,0.275489,0.370773,0.166633,0.071349
state_non_regression__transient_immediate__backlog_shock__standard,state_non_regression,backlog_shock,standard,transient_immediate,4.731672,4.88275,4.971397,4.999323,5.021389,0.146816,0.151078,0.088647,0.116573,0.049991,0.022066
