scenario_id,boundary_type,configuration,family,severity,scenario_role,attainment_rate_mean,mean_time_to_attainment_seconds_mean,p95_time_to_attainment_seconds_mean,completed_in_time_rate_mean,expired_rate_mean,temporal_clustering_busiest_10pct_interval_share_100ms_mean,duplicate_delivery_rate_mean,duplicate_delivery_count_mean
state_non_regression__retained_immediate__backlog_forward_resume__standard,state_non_regression,retained_immediate,backlog_forward_resume,standard,state_non_regression_pilot,1.0,7.661072,8.512306,1.0,0.0,0.084333,0.0,0.0
state_non_regression__retained_immediate__backlog_shock__standard,state_non_regression,retained_immediate,backlog_shock,standard,state_non_regression_pilot,1.0,7.324278,8.510713,1.0,0.0,0.436667,0.0,0.0
state_non_regression__transient_immediate__backlog_forward_resume__standard,state_non_regression,transient_immediate,backlog_forward_resume,standard,state_non_regression_pilot,1.0,7.666958,8.508665,1.0,0.0,0.078,0.0,0.0
state_non_regression__transient_immediate__backlog_shock__standard,state_non_regression,transient_immediate,backlog_shock,standard,state_non_regression_pilot,0.35,4.732876,4.99376,0.35,0.0,0.17619,0.0,0.0
