t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.082942,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
0.416683,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
0.742337,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
1.067934,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
1.393532,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
1.651331,10,0.001,7,7,0,3,0.3,3,0.3,0,0.0,3,0.3,0,0.0,0,0.0,3,0.3,0,0,0.0,1,8.0,0.0,8.0,0.0
1.905317,32,0.031,32,32,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
2.156722,54,0.053,54,54,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
2.416416,99,0.084,84,84,0,15,0.151515,15,0.151515,0,0.0,15,0.151515,0,0.0,0,0.0,15,0.151515,0,0,0.0,1,8.0,0.0,8.0,0.0
2.674773,145,0.136,114,114,0,31,0.213793,31,0.213793,0,0.0,31,0.213793,0,0.0,0,0.0,31,0.213793,0,0,0.0,1,8.0,0.0,8.0,0.0
2.927591,189,0.186,143,143,0,46,0.243386,46,0.243386,0,0.0,46,0.243386,0,0.0,0,0.0,46,0.243386,0,0,0.0,1,8.0,0.0,8.0,0.0
3.182868,233,0.217,172,172,0,61,0.261803,61,0.261803,0,0.0,61,0.261803,0,0.0,0,0.0,61,0.261803,0,0,0.0,1,8.0,0.0,8.0,0.0
3.454977,252,0.251,186,186,0,66,0.261905,66,0.261905,0,0.0,66,0.261905,0,0.0,0,0.0,66,0.261905,0,0,0.0,1,8.0,0.0,8.0,0.0
3.712937,272,0.263,216,216,0,56,0.205882,56,0.205882,0,0.0,51,0.1875,5,0.018382,0,0.0,56,0.205882,0,0,0.0,1,8.0,0.0,8.0,0.0
3.973216,318,0.318,246,246,0,72,0.226415,72,0.226415,0,0.0,67,0.210692,5,0.015723,0,0.0,72,0.226415,0,0,0.0,1,8.0,0.0,8.0,0.0
4.232669,365,0.35,276,276,0,89,0.243836,89,0.243836,0,0.0,89,0.243836,0,0.0,0,0.0,89,0.243836,0,0,0.0,1,8.0,0.0,8.0,0.0
4.490912,411,0.4,306,306,0,105,0.255474,105,0.255474,0,0.0,105,0.255474,0,0.0,0,0.0,105,0.255474,0,0,0.0,1,8.0,0.0,8.0,0.0
4.749934,457,0.45,336,336,0,121,0.26477,121,0.26477,0,0.0,107,0.234136,14,0.030635,0,0.0,121,0.26477,0,0,0.0,1,8.0,0.0,8.0,0.0
5.010125,504,0.5,366,366,0,138,0.27381,138,0.27381,0,0.0,107,0.212302,31,0.061508,0,0.0,138,0.27381,0,0,0.0,1,8.0,0.0,8.0,0.0
5.268918,550,0.537,396,396,0,154,0.28,154,0.28,0,0.0,107,0.194545,47,0.085455,0,0.0,154,0.28,0,0,0.0,1,8.0,0.0,8.0,0.0
5.529191,595,0.586,426,426,0,169,0.284034,169,0.284034,0,0.0,106,0.178151,53,0.089076,10,0.016807,169,0.284034,0,0,0.0,1,8.0,0.0,8.0,0.0
5.786226,639,0.635,455,455,0,184,0.28795,184,0.28795,0,0.0,103,0.161189,54,0.084507,27,0.042254,184,0.28795,0,0,0.0,1,8.0,0.0,8.0,0.0
6.044467,684,0.668,484,484,0,200,0.292398,200,0.292398,0,0.0,103,0.150585,53,0.077485,44,0.064327,200,0.292398,0,0,0.0,1,8.0,0.0,8.0,0.0
