t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.000714,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.337154,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.741683,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
1.023042,19,0.001,2,2,0,17,0.894737,17,0.894737,0,0.0,17,0.894737,0,0.0,0,0.0,10,0.526316,0,7,0.368421,1,50.0,0.0,50.0,0.0
1.277183,63,0.05,7,7,0,56,0.888889,56,0.888889,0,0.0,56,0.888889,0,0.0,0,0.0,54,0.857143,0,2,0.031746,1,50.0,0.0,50.0,0.0
1.534317,108,0.1,12,12,0,96,0.888889,96,0.888889,0,0.0,96,0.888889,0,0.0,0,0.0,18,0.166667,0,78,0.722222,1,50.0,0.0,50.0,0.0
1.789494,152,0.15,17,17,0,135,0.888158,135,0.888158,0,0.0,104,0.684211,31,0.203947,0,0.0,62,0.407895,0,73,0.480263,1,50.0,0.0,50.0,0.0
2.046363,194,0.184,22,22,0,172,0.886598,172,0.886598,0,0.0,101,0.520619,53,0.273196,18,0.092784,104,0.536082,0,68,0.350515,1,50.0,0.0,50.0,0.0
2.302832,236,0.233,27,26,1,209,0.885593,203,0.860169,6,0.025424,98,0.415254,53,0.224576,52,0.220339,140,0.59322,0,63,0.266949,1,50.0,0.0,50.0,0.0
2.557578,279,0.268,32,26,6,247,0.885305,203,0.727599,44,0.157706,100,0.358423,50,0.179211,53,0.189964,145,0.519713,0,58,0.207885,1,50.0,0.0,50.0,0.0
2.814348,320,0.318,37,26,11,283,0.884375,197,0.615625,86,0.26875,97,0.303125,50,0.15625,50,0.15625,144,0.45,0,53,0.165625,1,50.0,0.0,50.0,0.0
3.070163,365,0.35,42,26,16,323,0.884932,199,0.545205,124,0.339726,100,0.273973,49,0.134247,50,0.136986,151,0.413699,0,48,0.131507,1,50.0,0.0,50.0,0.0
3.327749,405,0.4,47,26,21,358,0.883951,198,0.488889,160,0.395062,101,0.249383,48,0.118519,49,0.120988,155,0.382716,0,43,0.106173,1,50.0,0.0,50.0,0.0
3.583338,451,0.45,52,26,26,399,0.884701,201,0.445676,198,0.439024,101,0.223947,51,0.113082,49,0.108647,163,0.361419,0,38,0.084257,1,50.0,0.0,50.0,0.0
3.839712,494,0.485,57,26,31,437,0.884615,202,0.408907,235,0.475709,105,0.212551,48,0.097166,49,0.09919,169,0.342105,0,33,0.066802,1,50.0,0.0,50.0,0.0
4.095749,540,0.536,62,26,36,478,0.885185,205,0.37963,273,0.505556,105,0.194444,51,0.094444,49,0.090741,177,0.327778,0,28,0.051852,1,50.0,0.0,50.0,0.0
4.352298,585,0.568,67,26,41,518,0.88547,206,0.352137,312,0.533333,105,0.179487,52,0.088889,49,0.083761,183,0.312821,0,23,0.039316,1,50.0,0.0,50.0,0.0
