t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.006187,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.357635,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.658651,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.959968,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
1.214141,35,0.035,5,5,0,30,0.857143,30,0.857143,0,0.0,30,0.857143,0,0.0,0,0.0,30,0.857143,0,0,0.0,1,50.0,0.0,50.0,0.0
1.468584,80,0.068,10,10,0,70,0.875,70,0.875,0,0.0,70,0.875,0,0.0,0,0.0,70,0.875,0,0,0.0,1,50.0,0.0,50.0,0.0
1.724026,123,0.117,15,15,0,108,0.878049,108,0.878049,0,0.0,103,0.837398,5,0.04065,0,0.0,108,0.878049,0,0,0.0,1,50.0,0.0,50.0,0.0
1.980015,168,0.15,20,20,0,148,0.880952,148,0.880952,0,0.0,103,0.613095,45,0.267857,0,0.0,148,0.880952,0,0,0.0,1,50.0,0.0,50.0,0.0
2.235994,212,0.2,25,25,0,187,0.882075,187,0.882075,0,0.0,103,0.485849,52,0.245283,32,0.150943,187,0.882075,0,0,0.0,1,50.0,0.0,50.0,0.0
2.491234,257,0.25,30,27,3,227,0.883268,208,0.809339,19,0.07393,105,0.40856,51,0.198444,52,0.202335,208,0.809339,0,0,0.0,1,50.0,0.0,50.0,0.0
2.748345,302,0.3,35,27,8,267,0.884106,208,0.688742,59,0.195364,106,0.350993,52,0.172185,50,0.165563,208,0.688742,0,0,0.0,1,50.0,0.0,50.0,0.0
3.00441,347,0.336,40,27,13,307,0.884726,210,0.605187,97,0.279539,105,0.302594,53,0.152738,52,0.149856,210,0.605187,0,0,0.0,1,50.0,0.0,50.0,0.0
3.260705,390,0.385,45,27,18,345,0.884615,209,0.535897,136,0.348718,104,0.266667,52,0.133333,53,0.135897,209,0.535897,0,0,0.0,1,50.0,0.0,50.0,0.0
3.518021,432,0.416,50,27,23,382,0.884259,207,0.479167,175,0.405093,101,0.233796,53,0.122685,53,0.122685,207,0.479167,0,0,0.0,1,50.0,0.0,50.0,0.0
3.775053,477,0.468,55,27,28,422,0.884696,206,0.431866,216,0.45283,103,0.215933,51,0.106918,52,0.109015,206,0.431866,0,0,0.0,1,50.0,0.0,50.0,0.0
4.034772,521,0.517,60,27,33,461,0.884837,204,0.391555,257,0.493282,103,0.197697,50,0.095969,51,0.097889,204,0.391555,0,0,0.0,1,50.0,0.0,50.0,0.0
4.29203,567,0.55,65,27,38,502,0.885362,206,0.363316,296,0.522046,104,0.183422,53,0.093474,49,0.08642,206,0.363316,0,0,0.0,1,50.0,0.0,50.0,0.0
4.549247,613,0.6,70,27,43,543,0.885808,210,0.342577,333,0.54323,106,0.17292,52,0.084829,52,0.084829,210,0.342577,0,0,0.0,1,50.0,0.0,50.0,0.0
4.806492,658,0.65,75,27,48,583,0.886018,211,0.320669,372,0.56535,107,0.162614,52,0.079027,52,0.079027,211,0.320669,0,0,0.0,1,50.0,0.0,50.0,0.0
5.063815,704,0.7,80,27,53,624,0.886364,212,0.301136,412,0.585227,106,0.150568,54,0.076705,52,0.073864,212,0.301136,0,0,0.0,1,50.0,0.0,50.0,0.0
5.321423,750,0.736,85,27,58,665,0.886667,213,0.284,452,0.602667,106,0.141333,53,0.070667,54,0.072,213,0.284,0,0,0.0,1,50.0,0.0,50.0,0.0
5.582527,796,0.786,90,27,63,706,0.886935,213,0.267588,493,0.619347,106,0.133166,54,0.067839,53,0.066583,213,0.267588,0,0,0.0,1,50.0,0.0,50.0,0.0
5.840676,841,0.836,95,27,68,746,0.887039,213,0.25327,533,0.633769,106,0.12604,54,0.064209,53,0.06302,213,0.25327,0,0,0.0,1,50.0,0.0,50.0,0.0
6.099138,887,0.886,100,27,73,787,0.88726,212,0.239008,575,0.648253,106,0.119504,53,0.059752,53,0.059752,212,0.239008,0,0,0.0,1,50.0,0.0,50.0,0.0
6.358377,933,0.918,105,27,78,828,0.88746,212,0.227224,616,0.660236,106,0.113612,53,0.056806,53,0.056806,212,0.227224,0,0,0.0,1,50.0,0.0,50.0,0.0
6.622927,979,0.968,110,27,83,869,0.88764,211,0.215526,658,0.672114,105,0.107252,53,0.054137,53,0.054137,211,0.215526,0,0,0.0,1,50.0,0.0,50.0,0.0
6.889082,1000,1.0,115,27,88,885,0.885,185,0.185,700,0.7,79,0.079,53,0.053,53,0.053,185,0.185,0,0,0.0,1,50.0,0.0,50.0,0.0
