t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.000453,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.303476,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.70801,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
1.007879,1,0.001,0,0,0,1,1.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,1,0,0.0,1,50.0,0.0,50.0,0.0
1.261169,45,0.037,0,0,0,45,1.0,45,1.0,0,0.0,45,1.0,0,0.0,0,0.0,42,0.933333,6,3,0.066667,1,50.0,0.0,50.0,0.0
1.517464,90,0.086,0,0,0,90,1.0,90,1.0,0,0.0,90,1.0,0,0.0,0,0.0,21,0.233333,11,69,0.766667,1,50.0,0.0,50.0,0.0
1.772755,135,0.118,12,12,0,123,0.911111,123,0.911111,0,0.0,105,0.777778,18,0.133333,0,0.0,58,0.42963,3,65,0.481481,1,50.0,0.0,50.0,0.0
2.026212,179,0.168,12,12,0,167,0.932961,167,0.932961,0,0.0,105,0.586592,52,0.290503,10,0.055866,107,0.597765,8,60,0.335196,1,50.0,0.0,50.0,0.0
2.279418,223,0.218,12,12,0,211,0.946188,210,0.941704,1,0.004484,104,0.466368,53,0.237668,53,0.237668,155,0.695067,13,55,0.246637,1,50.0,0.0,50.0,0.0
2.533566,267,0.25,12,12,0,255,0.955056,210,0.786517,45,0.168539,105,0.393258,53,0.198502,52,0.194757,160,0.599251,18,50,0.187266,1,50.0,0.0,50.0,0.0
2.788053,312,0.3,12,12,0,300,0.961538,210,0.673077,90,0.288462,105,0.336538,52,0.166667,53,0.169872,165,0.528846,23,45,0.144231,1,50.0,0.0,50.0,0.0
3.043021,357,0.35,12,12,0,345,0.966387,210,0.588235,135,0.378151,105,0.294118,53,0.148459,52,0.145658,170,0.47619,28,40,0.112045,1,50.0,0.0,50.0,0.0
3.300308,401,0.4,43,12,31,358,0.892768,210,0.523691,148,0.369077,105,0.261845,52,0.129676,53,0.13217,174,0.433915,1,36,0.089776,1,50.0,0.0,50.0,0.0
3.555314,446,0.436,43,12,31,403,0.903587,210,0.470852,193,0.432735,105,0.235426,53,0.118834,52,0.116592,179,0.401345,6,31,0.069507,1,50.0,0.0,50.0,0.0
3.810647,491,0.486,43,12,31,448,0.912424,210,0.427699,238,0.484725,105,0.213849,52,0.105906,53,0.107943,184,0.374745,11,26,0.052953,1,50.0,0.0,50.0,0.0
4.06546,536,0.536,43,12,31,493,0.919776,210,0.391791,283,0.527985,105,0.195896,52,0.097015,53,0.098881,189,0.352612,16,21,0.039179,1,50.0,0.0,50.0,0.0
4.320935,581,0.568,43,12,31,538,0.92599,211,0.363167,327,0.562823,106,0.182444,53,0.091222,52,0.089501,195,0.335628,21,16,0.027539,1,50.0,0.0,50.0,0.0
4.576586,626,0.618,43,12,31,583,0.93131,212,0.338658,371,0.592652,106,0.169329,53,0.084665,53,0.084665,201,0.321086,26,11,0.017572,1,50.0,0.0,50.0,0.0
4.831845,671,0.668,43,12,31,628,0.935917,212,0.315946,416,0.61997,106,0.157973,53,0.078987,53,0.078987,206,0.307004,31,6,0.008942,1,50.0,0.0,50.0,0.0
5.091711,717,0.7,74,12,62,643,0.896792,211,0.294282,432,0.60251,106,0.147838,52,0.072524,53,0.073919,209,0.291492,4,2,0.002789,1,50.0,0.0,50.0,0.0
5.354107,763,0.75,74,12,62,689,0.903014,212,0.277851,477,0.625164,106,0.138925,53,0.069463,53,0.069463,15,0.019659,9,197,0.258191,1,50.0,0.0,50.0,0.0
