scenario_id,base_scenario_id,boundary_type,deadline_window_seconds,configuration,family,severity,repeat_count,attainment_rate_mean,attainment_rate_std,attainment_rate_median,completed_in_time_count_mean,completed_in_time_count_std,completed_in_time_count_median,expired_count_mean,expired_count_std,expired_count_median,completed_in_time_rate_mean,completed_in_time_rate_std,completed_in_time_rate_median,expired_rate_mean,expired_rate_std,expired_rate_median,terminal_resolution_rate_mean,terminal_resolution_rate_std,terminal_resolution_rate_median,completion_lag_from_production_mean_seconds_mean,completion_lag_from_production_mean_seconds_std,completion_lag_from_production_mean_seconds_median,completion_lag_from_production_p50_seconds_mean,completion_lag_from_production_p50_seconds_std,completion_lag_from_production_p50_seconds_median,completion_lag_from_production_p90_seconds_mean,completion_lag_from_production_p90_seconds_std,completion_lag_from_production_p90_seconds_median,completion_lag_from_production_p95_seconds_mean,completion_lag_from_production_p95_seconds_std,completion_lag_from_production_p95_seconds_median,completion_lag_from_production_p99_seconds_mean,completion_lag_from_production_p99_seconds_std,completion_lag_from_production_p99_seconds_median,median_time_to_completion_in_time_mean,median_time_to_completion_in_time_std,median_time_to_completion_in_time_median,median_time_to_expiry_mean,median_time_to_expiry_std,median_time_to_expiry_median,share_resolved_by_expiry_mean,share_resolved_by_expiry_std,share_resolved_by_expiry_median,share_resolved_by_completion_mean,share_resolved_by_completion_std,share_resolved_by_completion_median,unattained_case_count_mean,unattained_case_count_std,unattained_case_count_median,all_cases_attained_within_window_flag_mean,all_cases_attained_within_window_flag_std,all_cases_attained_within_window_flag_median,observation_window_expired_flag_mean,observation_window_expired_flag_std,observation_window_expired_flag_median,tta_metrics_censored_flag_mean,tta_metrics_censored_flag_std,tta_metrics_censored_flag_median,mean_time_to_attainment_seconds_mean,mean_time_to_attainment_seconds_std,mean_time_to_attainment_seconds_median,p95_time_to_attainment_seconds_mean,p95_time_to_attainment_seconds_std,p95_time_to_attainment_seconds_median,p99_time_to_attainment_seconds_mean,p99_time_to_attainment_seconds_std,p99_time_to_attainment_seconds_median,p999_time_to_attainment_seconds_mean,p999_time_to_attainment_seconds_std,p999_time_to_attainment_seconds_median,attainment_t25_seconds_mean,attainment_t25_seconds_std,attainment_t25_seconds_median,attainment_t50_seconds_mean,attainment_t50_seconds_std,attainment_t50_seconds_median,attainment_t75_seconds_mean,attainment_t75_seconds_std,attainment_t75_seconds_median,attainment_t90_seconds_mean,attainment_t90_seconds_std,attainment_t90_seconds_median,attainment_t95_seconds_mean,attainment_t95_seconds_std,attainment_t95_seconds_median,attainment_t99_seconds_mean,attainment_t99_seconds_std,attainment_t99_seconds_median,early_bulk_window_25_to_50_seconds_mean,early_bulk_window_25_to_50_seconds_std,early_bulk_window_25_to_50_seconds_median,main_bulk_window_50_to_75_seconds_mean,main_bulk_window_50_to_75_seconds_std,main_bulk_window_50_to_75_seconds_median,bulk_window_25_to_75_seconds_mean,bulk_window_25_to_75_seconds_std,bulk_window_25_to_75_seconds_median,upper_bulk_window_75_to_90_seconds_mean,upper_bulk_window_75_to_90_seconds_std,upper_bulk_window_75_to_90_seconds_median,late_region_window_75_to_95_seconds_mean,late_region_window_75_to_95_seconds_std,late_region_window_75_to_95_seconds_median,tail_window_90_to_99_seconds_mean,tail_window_90_to_99_seconds_std,tail_window_90_to_99_seconds_median,straggler_window_95_to_99_seconds_mean,straggler_window_95_to_99_seconds_std,straggler_window_95_to_99_seconds_median,tail_to_bulk_ratio_mean,tail_to_bulk_ratio_std,tail_to_bulk_ratio_median,upper_bulk_to_bulk_ratio_mean,upper_bulk_to_bulk_ratio_std,upper_bulk_to_bulk_ratio_median,straggler_to_bulk_ratio_mean,straggler_to_bulk_ratio_std,straggler_to_bulk_ratio_median,last_attainment_seconds_mean,last_attainment_seconds_std,last_attainment_seconds_median,producer_complete_seen_elapsed_seconds_mean,producer_complete_seen_elapsed_seconds_std,producer_complete_seen_elapsed_seconds_median,producer_complete_to_last_attainment_seconds_mean,producer_complete_to_last_attainment_seconds_std,producer_complete_to_last_attainment_seconds_median,producer_complete_to_p95_seconds_mean,producer_complete_to_p95_seconds_std,producer_complete_to_p95_seconds_median,attained_after_producer_complete_share_mean,attained_after_producer_complete_share_std,attained_after_producer_complete_share_median,temporal_clustering_busiest_10pct_interval_share_100ms_mean,temporal_clustering_busiest_10pct_interval_share_100ms_std,temporal_clustering_busiest_10pct_interval_share_100ms_median,temporal_clustering_busiest_10pct_interval_share_250ms_mean,temporal_clustering_busiest_10pct_interval_share_250ms_std,temporal_clustering_busiest_10pct_interval_share_250ms_median,distinct_attainment_timestamps_1ms_mean,distinct_attainment_timestamps_1ms_std,distinct_attainment_timestamps_1ms_median,distinct_attainment_timestamps_10ms_mean,distinct_attainment_timestamps_10ms_std,distinct_attainment_timestamps_10ms_median,mean_inter_attainment_gap_ms_mean,mean_inter_attainment_gap_ms_std,mean_inter_attainment_gap_ms_median,inter_attainment_gap_cv_mean,inter_attainment_gap_cv_std,inter_attainment_gap_cv_median,reconciliation_pass_count_mean,reconciliation_pass_count_std,reconciliation_pass_count_median,retained_buffer_remaining_mean,retained_buffer_remaining_std,retained_buffer_remaining_median,pending_case_count_remaining_mean,pending_case_count_remaining_std,pending_case_count_remaining_median,run_duration_seconds_mean,run_duration_seconds_std,run_duration_seconds_median,mean_tta_delta_vs_same_config_baseline,p95_delta_vs_same_config_baseline,p99_delta_vs_same_config_baseline,cluster100_delta_vs_same_config_baseline,gap_cv_delta_vs_same_config_baseline,attainment_rate_delta_vs_same_config_baseline,unattained_delta_vs_same_config_baseline,residual_backlog_indicator
deadline_constrained__retained_deferred__backlog_shock__standard,deadline_constrained__retained_deferred__backlog_shock__standard,deadline_constrained,1.2,retained_deferred,backlog_shock,standard,10,1.0,0.0,1.0,535.9,63.470387,512.5,464.1,63.470387,487.5,0.5359,0.06347,0.5125,0.4641,0.06347,0.4875,1.0,0.0,1.0,1.426465,0.120829,1.468782,1.063353,0.16172,1.127788,3.100795,0.018179,3.102958,3.283136,0.010733,3.280857,3.49942,0.004987,3.499058,5.917173,0.261409,5.812805,5.803282,0.149717,5.77133,0.4641,0.06347,0.4875,0.5359,0.06347,0.5125,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.472847,0.206654,5.400882,6.947948,0.618851,6.587757,7.59335,0.238787,7.539039,7.674679,0.441286,7.539871,5.790373,0.150383,5.758373,5.818294,0.150332,5.784294,5.994779,0.469136,5.813526,6.764612,0.471065,6.581421,6.947948,0.618851,6.587757,7.59335,0.238787,7.539039,0.027921,0.008157,0.023934,0.176485,0.455456,0.023166,0.204406,0.456782,0.048785,0.769833,0.002625,0.769431,0.953169,0.357837,0.774407,0.828737,0.282866,0.897352,0.645401,0.424835,0.890621,8.271828,2.87333,8.97352,6.973163,2.160552,7.691995,6.448155,4.257189,8.906215,7.674866,0.441335,7.539987,7.159865,0.445923,6.981609,0.515002,0.120032,0.512389,0.063468,0.136494,0.0,0.0414,0.01933,0.04,0.0,0.0,0.0,0.0,0.0,0.0,116.5,17.873164,107.5,17.0,2.236068,16.0,6.650098,0.431914,6.486022,17.169001,0.815524,17.401187,6.2,0.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.784863,0.434322,9.628888,1.477724,0.380594,0.805529,0.0,10.729395,0.0,0.0,0.0
deadline_constrained__retained_immediate__backlog_shock__standard,deadline_constrained__retained_immediate__backlog_shock__standard,deadline_constrained,1.2,retained_immediate,backlog_shock,standard,10,1.0,0.0,1.0,734.0,72.888957,706.5,266.0,72.888957,293.5,0.734,0.072889,0.7065,0.266,0.072889,0.2935,1.0,0.0,1.0,0.658282,0.157205,0.716282,0.045534,0.050959,0.013182,2.072125,0.529868,2.259752,2.413029,0.367226,2.538463,2.834794,0.20988,2.756374,6.160257,2.710428,5.229881,5.778531,1.824949,5.125462,0.266,0.072889,0.2935,0.734,0.072889,0.7065,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.611581,2.465669,4.746951,8.01424,3.753227,6.763731,8.250501,3.74714,6.99586,8.302911,3.746615,7.04859,5.7573,1.833649,5.09466,5.899829,2.053675,5.179489,6.82501,3.759663,5.594288,7.722224,3.751658,6.472215,8.01424,3.753227,6.763731,8.250501,3.74714,6.99586,0.142529,0.220965,0.060895,0.925181,1.710742,0.392966,1.06771,1.930905,0.492418,0.897214,0.060283,0.879706,1.18923,0.063966,1.167588,0.528278,0.017267,0.52315,0.236261,0.016143,0.232169,1.252876,0.589614,1.08437,2.099995,0.923363,1.879831,0.565894,0.277152,0.481399,8.308862,3.746646,7.054445,8.475275,3.736796,7.225459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.2,80.048485,613.5,327.7,56.350776,311.0,7.241379,3.659189,6.036016,14.239681,1.841593,14.833005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.441233,3.823633,9.173992,1.660375,1.358065,1.364228,0.0,13.546945,0.0,0.0,0.0
deadline_constrained__transient_immediate__backlog_shock__standard,deadline_constrained__transient_immediate__backlog_shock__standard,deadline_constrained,1.2,transient_immediate,backlog_shock,standard,10,1.0,0.0,1.0,709.6,17.493999,703.0,290.4,17.493999,297.0,0.7096,0.017494,0.703,0.2904,0.017494,0.297,1.0,0.0,1.0,0.712558,0.037042,0.726558,0.07538,0.042231,0.095084,2.234256,0.057591,2.258145,2.526941,0.008775,2.530042,2.748311,0.004433,2.747974,5.05647,0.230661,5.069123,4.961511,0.247369,4.987284,0.2904,0.017494,0.297,0.7096,0.017494,0.703,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.582939,0.196014,4.606335,6.530099,0.215519,6.532218,6.762405,0.217512,6.764193,6.814101,0.217875,6.815832,4.931883,0.247657,4.955179,5.011513,0.235842,5.031179,5.341576,0.197184,5.306993,6.241435,0.212027,6.248048,6.530099,0.215519,6.532218,6.762405,0.217512,6.764193,0.07963,0.016591,0.074923,0.330063,0.184532,0.257142,0.409693,0.200548,0.332549,0.899859,0.093753,0.864548,1.188523,0.100617,1.148897,0.520969,0.01369,0.514883,0.232306,0.007119,0.228794,1.423016,0.318526,1.53546,2.46469,0.612018,2.669217,0.633659,0.140334,0.683947,6.819853,0.217752,6.821564,6.920734,0.217761,6.922347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.1,47.946741,637.5,303.4,20.852818,293.5,5.905142,0.259379,5.755977,15.025805,0.621174,15.384877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.893104,0.217709,8.896311,0.649745,0.043327,0.048612,0.0,14.552253,0.0,0.0,0.0
deadline_constrained__retained_deferred__baseline__standard,deadline_constrained__retained_deferred__baseline__standard,deadline_constrained,1.2,retained_deferred,baseline,standard,10,1.0,0.0,1.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.131732,0.002002,0.131571,0.130672,0.002232,0.129891,0.233098,0.002028,0.232674,0.245594,0.00226,0.244994,0.276715,0.042144,0.255673,4.06109,0.071427,4.092076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.995123,0.071468,3.998094,6.567354,0.149381,6.656344,6.787821,0.18645,6.686428,6.993975,0.096091,7.023281,2.543197,0.054629,2.556277,4.06109,0.071427,4.092076,5.405762,0.102634,5.395867,6.208724,0.127791,6.173524,6.567354,0.149381,6.656344,6.787821,0.18645,6.686428,1.517893,0.074911,1.542734,1.344672,0.103241,1.294866,2.862565,0.082964,2.836109,0.802962,0.08289,0.775507,1.161592,0.128744,1.160961,0.579097,0.132431,0.514054,0.220467,0.153531,0.257487,0.202449,0.047006,0.181885,0.280809,0.030922,0.273496,0.076735,0.053559,0.090946,6.994191,0.096189,7.023397,6.862028,0.08661,6.85761,0.132164,0.086686,0.178158,0.0,0.0,0.0,0.0135,0.012126,0.008,0.0,0.0,0.0,0.0,0.0,0.0,126.6,5.8,127.5,33.6,2.416609,33.5,6.003923,0.084448,6.023542,6.439606,0.055527,6.421007,23.9,0.3,24.0,0.0,0.0,0.0,0.0,0.0,0.0,9.075133,0.092398,9.050254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline_constrained__retained_immediate__baseline__standard,deadline_constrained__retained_immediate__baseline__standard,deadline_constrained,1.2,retained_immediate,baseline,standard,10,1.0,0.0,1.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.000734,7.3e-05,0.000705,0.000676,1.5e-05,0.000671,0.000857,3.6e-05,0.000847,0.000955,4.5e-05,0.000946,0.001734,0.000671,0.001456,3.909595,0.215136,3.859845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.951206,0.230414,3.872587,6.656175,0.392431,6.444361,6.886273,0.390117,6.687364,6.937396,0.389585,6.737987,2.478641,0.199868,2.435769,3.909595,0.215136,3.859845,5.359153,0.273911,5.286186,6.370719,0.391339,6.162142,6.656175,0.392431,6.444361,6.886273,0.390117,6.687364,1.430954,0.018259,1.425008,1.449558,0.066791,1.426395,2.880512,0.08356,2.855221,1.011566,0.326723,0.859791,1.297022,0.327858,1.146916,0.515554,0.008238,0.513558,0.230099,0.008948,0.226237,0.179142,0.006262,0.179725,0.351755,0.115261,0.301467,0.079968,0.004273,0.079354,6.943079,0.389678,6.743758,7.093999,0.394176,6.893151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.6,0.916515,1000.0,572.8,4.01995,572.0,5.899383,0.331233,5.73686,0.692736,1.301125,0.127111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.03701,0.416185,8.810683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline_constrained__transient_immediate__baseline__standard,deadline_constrained__transient_immediate__baseline__standard,deadline_constrained,1.2,transient_immediate,baseline,standard,10,1.0,0.0,1.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.000738,0.000118,0.000722,0.00062,2.1e-05,0.000617,0.000784,4.6e-05,0.000784,0.000897,8.1e-05,0.000882,0.001972,0.001014,0.001469,3.948912,0.201588,3.893801,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.933194,0.181984,3.899865,6.486772,0.20581,6.455053,6.713793,0.201245,6.681185,6.764624,0.201497,6.73264,2.50237,0.200178,2.453347,3.948912,0.201588,3.893801,5.365752,0.204415,5.331278,6.205251,0.203232,6.174589,6.486772,0.20581,6.455053,6.713793,0.201245,6.681185,1.446542,0.087044,1.409799,1.41684,0.024907,1.403557,2.863382,0.086285,2.842226,0.839499,0.005333,0.838162,1.12102,0.007322,1.118804,0.508542,0.009054,0.505666,0.227021,0.007982,0.223935,0.177777,0.006625,0.176835,0.293424,0.008142,0.294091,0.079364,0.003871,0.078538,6.770332,0.201533,6.738914,6.871069,0.201525,6.839684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.1,1.044031,999.5,563.4,3.954744,562.5,5.766141,0.172647,5.682298,0.473552,0.485599,0.248213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.883397,0.266433,8.823639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline_constrained__retained_deferred__degradation__high,deadline_constrained__retained_deferred__degradation__high,deadline_constrained,1.2,retained_deferred,degradation,high,10,1.0,0.0,1.0,12.0,4.07431,11.0,988.0,4.07431,989.0,0.012,0.004074,0.011,0.988,0.004074,0.989,1.0,0.0,1.0,4.459008,0.291965,4.425229,4.440581,0.371643,4.383279,6.017555,0.231325,5.944553,6.283877,0.210084,6.22358,6.501466,0.195869,6.449432,1.6248,0.015115,1.619754,8.356915,0.500375,8.169935,0.988,0.004074,0.989,0.012,0.004074,0.011,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.336668,0.231492,8.316557,9.777383,0.468002,9.887763,9.781965,0.468319,9.892256,9.78294,0.468241,9.893264,8.155242,0.059711,8.129521,8.355814,0.500496,8.169399,9.586991,0.663879,9.868029,9.771527,0.467493,9.882231,9.777383,0.468002,9.887763,9.781965,0.468319,9.892256,0.200572,0.5073,0.029961,1.231177,0.791273,1.711601,1.431749,0.692374,1.743691,0.184536,0.502405,0.01675,0.190391,0.502073,0.022883,0.010438,0.001755,0.010005,0.004582,0.000967,0.004209,0.022165,0.032116,0.006458,1.713731,5.067983,0.010092,0.009955,0.014588,0.00275,9.783046,0.468232,9.89337,8.393821,0.084459,8.352007,1.389226,0.441237,1.542848,1.383562,0.441124,1.538028,0.399,0.199641,0.3165,0.0,0.0,0.0,0.0,0.0,0.0,124.2,23.404273,118.0,17.6,3.072458,16.5,8.167346,0.461641,8.28575,14.06094,0.495901,13.914973,5.9,0.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9592,0.481237,12.085962,4.341545,3.210029,2.994144,0.0,7.621334,0.0,0.0,0.0
deadline_constrained__retained_immediate__degradation__high,deadline_constrained__retained_immediate__degradation__high,deadline_constrained,1.2,retained_immediate,degradation,high,10,1.0,0.0,1.0,27.8,3.762978,27.0,972.2,3.762978,973.0,0.0278,0.003763,0.027,0.9722,0.003763,0.973,1.0,0.0,1.0,3.813699,0.296482,3.762508,3.834249,0.340568,3.767518,5.811093,0.208936,5.745511,6.050693,0.180359,5.993838,6.24186,0.158627,6.189742,1.677304,0.16123,1.67542,8.275312,0.330167,8.174886,0.9722,0.003763,0.973,0.0278,0.003763,0.027,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761881,0.247204,7.681062,8.417823,0.320595,8.311151,8.42786,0.320007,8.321589,8.429981,0.319909,8.323698,8.103701,0.10614,8.061843,8.272266,0.329994,8.171344,8.352578,0.323147,8.253407,8.395496,0.32135,8.298015,8.417823,0.320595,8.311151,8.42786,0.320007,8.321589,0.168565,0.225637,0.098361,0.080312,0.027181,0.07494,0.248877,0.21934,0.182793,0.042918,0.005881,0.043185,0.065245,0.034752,0.055048,0.032364,0.030872,0.021959,0.010037,0.001384,0.010472,0.181765,0.192891,0.130232,0.231721,0.073655,0.240515,0.054285,0.016546,0.057583,8.430753,0.319571,8.32393,8.578788,0.318538,8.462715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.5,32.141095,351.0,161.1,4.635731,160.5,7.438147,0.367338,7.322879,2.602689,0.412568,2.44298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.543751,0.330225,10.411706,3.810675,1.761648,1.541587,0.0,1.909953,0.0,0.0,0.0
deadline_constrained__transient_immediate__degradation__high,deadline_constrained__transient_immediate__degradation__high,deadline_constrained,1.2,transient_immediate,degradation,high,10,1.0,0.0,1.0,28.6,5.141984,27.0,971.4,5.141984,973.0,0.0286,0.005142,0.027,0.9714,0.005142,0.973,1.0,0.0,1.0,3.78248,0.152325,3.772762,3.808877,0.169258,3.801077,5.733112,0.116537,5.739504,5.974774,0.111125,5.98086,6.1592,0.104847,6.170697,1.740335,0.219227,1.673447,8.187412,0.115761,8.126452,0.9714,0.005142,0.973,0.0286,0.005142,0.027,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.711103,0.117141,7.646882,8.379242,0.232033,8.253941,8.397761,0.24345,8.265199,8.402199,0.245308,8.267909,8.07765,0.054806,8.053555,8.181875,0.11312,8.12367,8.286365,0.175535,8.195546,8.357305,0.220402,8.240783,8.379242,0.232033,8.253941,8.397761,0.24345,8.265199,0.104225,0.059394,0.075467,0.10449,0.063361,0.071806,0.208715,0.12202,0.149049,0.07094,0.045806,0.04699,0.092877,0.05958,0.060147,0.040456,0.031132,0.024714,0.018519,0.015063,0.011545,0.189528,0.071361,0.170143,0.329191,0.049885,0.324808,0.085768,0.034854,0.076528,8.402755,0.245621,8.268228,8.503624,0.245926,8.36892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,161.009317,385.5,172.3,20.581788,162.0,7.36899,0.267001,7.266846,2.408387,0.071486,2.429194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.491397,0.261391,10.352992,3.777909,1.89247,1.683968,0.0,1.934835,0.0,0.0,0.0
deadline_constrained__retained_deferred__degradation__moderate,deadline_constrained__retained_deferred__degradation__moderate,deadline_constrained,1.2,retained_deferred,degradation,moderate,10,1.0,0.0,1.0,157.9,25.28814,148.0,842.1,25.28814,852.0,0.1579,0.025288,0.148,0.8421,0.025288,0.852,1.0,0.0,1.0,1.96147,0.074478,1.981994,1.95344,0.081826,1.964408,2.990976,0.153684,2.979443,3.268423,0.176419,3.275148,3.492031,0.179851,3.49643,2.915594,0.648761,3.232627,6.723191,0.68296,6.50331,0.8421,0.025288,0.852,0.1579,0.025288,0.148,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.952193,0.173457,5.873489,8.299769,0.180241,8.239691,8.305126,0.182544,8.244723,8.306205,0.182633,8.245815,3.572348,0.650002,3.252261,6.538988,0.15688,6.493543,8.273753,0.177634,8.21656,8.293575,0.179651,8.233719,8.299769,0.180241,8.239691,8.305126,0.182544,8.244723,2.96664,0.558686,3.235416,1.734765,0.033664,1.722682,4.701405,0.547466,4.956242,0.019822,0.004406,0.018282,0.026017,0.005233,0.024068,0.011551,0.003253,0.011357,0.005356,0.002425,0.004884,0.002548,0.00101,0.002311,0.004295,0.00114,0.004103,0.001192,0.000686,0.001009,8.306324,0.182641,8.245923,8.190916,0.019669,8.193821,0.115408,0.192158,0.047373,0.108854,0.189728,0.041783,0.3832,0.024252,0.37,0.0,0.0,0.0,0.0,0.0,0.0,137.8,35.181813,131.0,19.3,4.775982,18.5,6.708139,0.182381,6.646699,15.450839,0.080665,15.472089,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.471386,0.177719,10.437601,1.95707,1.732415,1.517305,0.0,9.011233,0.0,0.0,0.0
