scenario_id,boundary_type,family,severity,configuration,delta_mean_tta,delta_p95,delta_p99,delta_t25,delta_t50,delta_t75,delta_t90,delta_t95,delta_t99,early_bulk_region_shift,main_bulk_region_shift,upper_bulk_region_shift,convergence_region_shift,tail_region_shift,straggler_region_shift,delta_early_bulk_window_25_to_50,delta_main_bulk_window_50_to_75,delta_bulk_window_25_to_75,delta_upper_bulk_window_75_to_90,delta_late_region_window_75_to_95,delta_tail_window_90_to_99,delta_straggler_window_95_to_99,delta_cluster100,delta_cluster250,delta_distinct_1ms,delta_distinct_10ms,delta_gap_cv,delta_attainment_rate,delta_unattained_case_count,delta_window_expired_flag,delta_producer_complete_to_last_attainment,mean_amplification_ratio,p95_amplification_ratio,p99_amplification_ratio,cluster100_amplification_ratio,gap_cv_amplification_ratio,bulk_window_amplification_ratio,upper_bulk_window_amplification_ratio,late_region_window_amplification_ratio,tail_window_amplification_ratio,straggler_window_amplification_ratio,tail_to_bulk_ratio_delta,tail_to_bulk_amplification_ratio,upper_bulk_to_bulk_ratio_delta,upper_bulk_to_bulk_amplification_ratio,straggler_to_bulk_ratio_delta,straggler_to_bulk_amplification_ratio,timestamp_compression_ratio,upper_bulk_displacement_score,convergence_vs_straggler_score,synchronized_vs_tail_score,concentration_vs_curve_shift_score,residual_backlog_indicator,deferred_shape_gap_vs_same_family,deferred_shape_gap_vs_same_family_abs,tail_without_mean_score,concentration_dominance_score,tail_shift_without_mean_shift_candidate,bulk_shift_without_mean_shift_candidate
deadline_constrained__retained_deferred__backlog_shock__standard,deadline_constrained,backlog_shock,standard,retained_deferred,1.477724,0.380594,0.805529,3.247176,1.757204,0.589017,0.555888,0.380594,0.805529,2.50219,1.17311,0.572453,0.484806,0.680709,0.593062,-1.489972,-1.168187,-2.658159,-0.033129,-0.208423,0.24964,0.424934,0.0,0.0,-10.1,-16.6,10.729395,0.0,0.0,0.0,0.382838,1.369882,1.057952,1.118673,0.0,2.666157,0.071407,0.958742,0.820571,1.431085,2.927427,8.069379,40.858824,6.692354,24.832406,6.37142,64.48155,1.086695,0.925854,0.0,0.291514,1.277223,0.0,2.92932,2.92932,0.212468,1.576983,False,False
deadline_constrained__retained_deferred__degradation__high,deadline_constrained,degradation,high,retained_deferred,4.341545,3.210029,2.994144,5.612045,4.294724,4.181229,3.562803,3.210029,2.994144,4.953385,4.237977,3.872016,3.695629,3.278474,3.102086,-1.317321,-0.113495,-1.430816,-0.618426,-0.971201,-0.568659,-0.215885,0.0,0.0,-2.4,-16.0,7.621334,0.0,0.0,0.0,1.257062,2.086711,1.488786,1.441105,0.0,2.183509,0.500163,0.229819,0.163905,0.018025,0.020783,-0.180284,0.109484,1.432922,6.102835,-0.06678,0.09955,1.019324,2.260452,0.278658,1.490391,0.0,0.0,11.458251,11.458251,0.0,0.850177,False,False
deadline_constrained__retained_deferred__degradation__moderate,deadline_constrained,degradation,moderate,retained_deferred,1.95707,1.732415,1.517305,1.029151,2.477898,2.867991,2.084851,1.732415,1.517305,1.753525,2.672944,2.476421,2.300203,1.801078,1.62486,1.448747,0.390093,1.83884,-0.78314,-1.135575,-0.567546,-0.215111,0.0,0.0,11.2,-14.3,9.011233,0.0,0.0,0.0,-0.016756,1.489865,1.263792,1.223533,0.0,2.399345,1.642375,0.024686,0.022398,0.019947,0.024294,-0.199901,0.012586,-0.276514,0.015295,-0.075543,0.01192,0.918723,1.860049,0.269884,1.249584,0.35039,0.0,14.580124,14.580124,0.0,1.115801,False,False
deadline_constrained__retained_immediate__backlog_shock__standard,deadline_constrained,backlog_shock,standard,retained_immediate,1.660375,1.358065,1.364228,3.278659,1.990234,1.465857,1.351505,1.358065,1.364228,2.634447,1.728045,1.408681,1.411961,1.357867,1.361147,-1.288425,-0.524377,-1.812802,-0.114352,-0.107792,0.012724,0.006162,0.0,0.0,-349.4,-245.1,13.546945,0.0,0.0,0.0,0.0,1.42022,1.204031,1.198108,0.0,14.239681,0.370667,0.886955,0.916893,1.02468,1.02678,1.073734,6.993759,1.74824,5.97005,0.485926,5.65894,1.537373,1.453301,0.0,1.058758,1.248861,0.0,2.92932,2.92932,0.003081,1.774215,False,False
deadline_constrained__retained_immediate__degradation__high,deadline_constrained,degradation,high,retained_immediate,3.810675,1.761648,1.541587,5.62506,4.362671,2.993425,2.024777,1.761648,1.541587,4.993866,3.678048,2.509101,2.377536,1.783182,1.651617,-1.262389,-1.369246,-2.631635,-0.968648,-1.231777,-0.48319,-0.220062,0.0,0.0,-643.1,-411.7,1.909953,0.0,0.0,0.0,0.0,1.964433,1.264664,1.223864,0.0,2.602689,0.0864,0.042427,0.050304,0.062775,0.04362,0.002623,1.014642,-0.120034,0.658757,-0.025683,0.54285,2.803927,1.95505,0.548273,1.605487,0.0,0.0,11.458251,11.458251,0.0,0.657756,False,False
deadline_constrained__retained_immediate__degradation__moderate,deadline_constrained,degradation,moderate,retained_immediate,1.391546,1.470001,1.275861,0.865206,1.631789,2.435012,1.702968,1.470001,1.275861,1.248498,2.0334,2.06899,1.952506,1.489415,1.372931,0.766583,0.803223,1.569806,-0.732044,-0.965011,-0.427108,-0.194142,0.0,0.0,-147.0,112.0,0.177979,0.0,0.0,0.0,0.0,1.352183,1.220848,1.185276,0.0,0.870715,1.544975,0.276326,0.255979,0.171555,0.156268,-0.159278,0.110884,-0.288764,0.179076,-0.071857,0.08111,1.172414,1.694668,0.540291,1.037592,0.0,0.0,14.580124,14.580124,0.078455,0.0,False,False
deadline_constrained__transient_immediate__backlog_shock__standard,deadline_constrained,backlog_shock,standard,transient_immediate,0.649745,0.043327,0.048612,2.429513,1.062601,-0.024176,0.036184,0.043327,0.048612,1.746057,0.519212,0.006004,0.009575,0.042398,0.045969,-1.366912,-1.086777,-2.453689,0.06036,0.067503,0.012427,0.005285,0.0,0.0,-344.0,-260.0,14.552253,0.0,0.0,0.0,0.0,1.165195,1.006679,1.007241,0.0,15.025805,0.14308,1.0719,1.060216,1.024437,1.02328,1.245239,8.0045,2.171266,8.399756,0.554295,6.33659,1.525111,0.270198,0.0,0.310926,2.114554,0.0,2.92932,2.92932,0.002643,2.207832,False,False
deadline_constrained__transient_immediate__degradation__high,deadline_constrained,degradation,high,transient_immediate,3.777909,1.89247,1.683968,5.57528,4.232963,2.920613,2.152054,1.89247,1.683968,4.904122,3.576788,2.536334,2.406541,1.918011,1.788219,-1.342317,-1.31235,-2.654667,-0.768559,-1.028143,-0.468086,-0.208502,0.0,0.0,-523.1,-391.1,1.934835,0.0,0.0,0.0,0.0,1.960519,1.291743,1.250822,0.0,2.408387,0.072891,0.084503,0.08285,0.079553,0.081574,0.011751,1.0661,0.035767,1.121895,0.006404,0.85768,2.09895,1.953714,0.495194,1.551451,0.0,0.0,11.458251,11.458251,0.0,0.506585,False,False
deadline_constrained__transient_immediate__degradation__moderate,deadline_constrained,degradation,moderate,transient_immediate,1.385669,1.588039,1.374338,0.81546,1.560389,2.333954,1.851822,1.588039,1.374338,1.187925,1.947172,2.092888,1.960996,1.61308,1.481189,0.744929,0.773565,1.518494,-0.482132,-0.745915,-0.477485,-0.213701,0.0,0.0,-140.2,119.5,0.094019,0.0,0.0,0.0,0.0,1.352301,1.244812,1.204704,0.0,0.567571,1.530315,0.425691,0.33461,0.061071,0.058673,-0.170702,0.039797,-0.212503,0.275782,-0.076329,0.03035,1.163232,1.691072,0.498999,0.980836,0.0,0.0,14.580124,14.580124,0.20237,0.0,False,False
