severity,repeat_count,retained_immediate_duplicate_side_effects_mean,retained_deferred_duplicate_side_effects_mean,retained_deferred_reconciliation_passes_mean,retained_deferred_correction_rewrites_mean,retained_deferred_settlement_delay_mean_seconds
standard,10,800,15.2,33.2,784.8,0.104938
extreme,10,1400,24.6,37.2,1375.4,0.060145
