t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.000434,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.306405,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
0.712692,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
1.018421,1,0.001,1,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,50.0,0.0,50.0,0.0
1.272491,45,0.037,6,6,0,39,0.866667,39,0.866667,0,0.0,39,0.866667,0,0.0,0,0.0,35,0.777778,0,4,0.088889,1,50.0,0.0,50.0,0.0
1.529448,89,0.085,11,11,0,78,0.876404,78,0.876404,0,0.0,78,0.876404,0,0.0,0,0.0,0,0.0,0,78,0.876404,1,50.0,0.0,50.0,0.0
1.78285,134,0.118,16,16,0,118,0.880597,118,0.880597,0,0.0,104,0.776119,14,0.104478,0,0.0,45,0.335821,0,73,0.544776,1,50.0,0.0,50.0,0.0
2.036704,178,0.167,21,21,0,157,0.882022,157,0.882022,0,0.0,104,0.58427,53,0.297753,0,0.0,89,0.5,0,68,0.382022,1,50.0,0.0,50.0,0.0
2.291738,223,0.218,26,26,0,197,0.883408,197,0.883408,0,0.0,105,0.470852,52,0.233184,40,0.179372,134,0.600897,0,63,0.282511,1,50.0,0.0,50.0,0.0
2.548348,267,0.25,31,27,4,236,0.883895,208,0.779026,28,0.104869,104,0.389513,52,0.194757,52,0.194757,150,0.561798,0,58,0.217228,1,50.0,0.0,50.0,0.0
2.802836,313,0.3,36,27,9,277,0.884984,210,0.670927,67,0.214058,105,0.335463,53,0.169329,52,0.166134,157,0.501597,0,53,0.169329,1,50.0,0.0,50.0,0.0
3.059116,357,0.35,41,27,14,316,0.885154,209,0.585434,107,0.29972,105,0.294118,52,0.145658,52,0.145658,161,0.45098,0,48,0.134454,1,50.0,0.0,50.0,0.0
3.314035,402,0.4,46,27,19,356,0.885572,210,0.522388,146,0.363184,105,0.261194,52,0.129353,53,0.131841,167,0.415423,0,43,0.106965,1,50.0,0.0,50.0,0.0
3.569073,447,0.435,51,27,24,396,0.885906,210,0.469799,186,0.416107,106,0.237136,52,0.116331,52,0.116331,172,0.384787,0,38,0.085011,1,50.0,0.0,50.0,0.0
3.825028,492,0.486,56,27,29,436,0.886179,211,0.428862,225,0.457317,105,0.213415,53,0.107724,53,0.107724,178,0.361789,0,33,0.067073,1,50.0,0.0,50.0,0.0
4.080683,536,0.535,61,27,34,475,0.886194,211,0.393657,264,0.492537,106,0.197761,52,0.097015,53,0.098881,183,0.341418,0,28,0.052239,1,50.0,0.0,50.0,0.0
4.337259,582,0.568,66,27,39,516,0.886598,211,0.362543,305,0.524055,105,0.180412,53,0.091065,53,0.091065,188,0.323024,0,23,0.039519,1,50.0,0.0,50.0,0.0
4.596204,626,0.618,71,27,44,555,0.886581,209,0.333866,346,0.552716,105,0.167732,52,0.083067,52,0.083067,191,0.305112,0,18,0.028754,1,50.0,0.0,50.0,0.0
4.852641,671,0.668,76,27,49,595,0.886736,210,0.312966,385,0.57377,105,0.156483,53,0.078987,52,0.077496,197,0.293592,0,13,0.019374,1,50.0,0.0,50.0,0.0
5.112199,716,0.7,81,27,54,635,0.886872,209,0.291899,426,0.594972,105,0.146648,52,0.072626,52,0.072626,201,0.280726,0,8,0.011173,1,50.0,0.0,50.0,0.0
5.369081,762,0.75,86,27,59,676,0.887139,210,0.275591,466,0.611549,105,0.137795,53,0.069554,52,0.068241,207,0.271654,0,3,0.003937,1,50.0,0.0,50.0,0.0
5.636442,808,0.8,91,27,64,717,0.887376,209,0.258663,508,0.628713,105,0.12995,52,0.064356,52,0.064356,11,0.013614,0,198,0.24505,1,50.0,0.0,50.0,0.0
5.895303,854,0.85,96,27,69,758,0.887588,211,0.247073,547,0.640515,105,0.122951,53,0.062061,53,0.062061,18,0.021077,0,193,0.225995,1,50.0,0.0,50.0,0.0
6.152706,900,0.886,101,27,74,799,0.887778,211,0.234444,588,0.653333,107,0.118889,51,0.056667,53,0.058889,23,0.025556,0,188,0.208889,1,50.0,0.0,50.0,0.0
6.412704,944,0.935,106,27,79,838,0.887712,210,0.222458,628,0.665254,105,0.111229,53,0.056144,52,0.055085,27,0.028602,0,183,0.193856,1,50.0,0.0,50.0,0.0
