family,scenario_display_label,attainment_rate_mean,omission_rate_mean,obsolete_suppression_rate_mean,outage_exposed_expected_event_count_mean,outage_exposed_expected_event_rate_mean,outage_exposed_seen_event_count_mean,outage_exposed_seen_fraction_of_expected_mean,outage_exposed_unseen_count_mean,outage_exposed_unseen_fraction_of_expected_mean,transient_outage_drop_count_mean,transient_outage_drop_fraction_of_expected_mean,outage_exposed_loss_count_mean,outage_exposed_loss_fraction_of_expected_mean,outage_exposed_version_mean,forward_resumption_version_mean,forward_resumption_entity_count_mean,forward_resumption_adequacy_rate_mean,forward_resumption_after_loss_count_mean,forward_resumption_after_loss_rate_mean,mean_tta_mean,p95_tta_mean
backlog_forward_resume,backlog_shock_+_forward_resume,1.0,0.0,0.069767,195.0,0.65,195.0,1.0,0.0,0.0,97.5,0.5,97.5,0.5,3.0,4.0,195.0,1.0,97.5,0.5,7.664015,8.510485500000001
backlog_shock,backlog_shock,0.675,0.325,0.0454545,195.0,0.65,105.0,0.5384615,90.0,0.4615385,7.5,0.0384615,97.5,0.5,3.0,0.0,0.0,0.0,0.0,0.0,6.028577,6.7522365
