t_sec,produced_total,produced_progress_fraction,attained_total,completed_in_time_total,expired_total,unresolved_cases,unresolved_share,salvageable_unsettled_cases,salvageable_unsettled_share,doomed_unsettled_cases,doomed_unsettled_share,comfortable_slack_cases,comfortable_slack_share,warning_slack_cases,warning_slack_share,critical_slack_cases,critical_slack_share,active_settlement_cases,active_settlement_share,pending_cases,retained_backlog_cases,retained_backlog_share,disturbance_active,configured_delay_ms,configured_ramp_seconds,effective_delay_ms_current,consumer_pause_configured_seconds
0.001003,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
0.307635,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
0.631041,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,8.0,0.0,8.0,0.0
0.907832,1,0.001,0,0,0,1,1.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,1,0,0.0,1,8.0,0.0,8.0,0.0
1.163363,46,0.037,0,0,0,46,1.0,46,1.0,0,0.0,46,1.0,0,0.0,0,0.0,37,0.804348,31,9,0.195652,1,8.0,0.0,8.0,0.0
1.418228,90,0.085,0,0,0,90,1.0,90,1.0,0,0.0,90,1.0,0,0.0,0,0.0,90,1.0,61,0,0.0,1,8.0,0.0,8.0,0.0
1.677119,134,0.118,82,82,0,52,0.38806,52,0.38806,0,0.0,52,0.38806,0,0.0,0,0.0,50,0.373134,7,2,0.014925,1,8.0,0.0,8.0,0.0
1.934342,178,0.167,82,82,0,96,0.539326,96,0.539326,0,0.0,96,0.539326,0,0.0,0,0.0,77,0.432584,37,19,0.106742,1,8.0,0.0,8.0,0.0
2.187548,223,0.218,82,82,0,141,0.632287,141,0.632287,0,0.0,104,0.466368,37,0.165919,0,0.0,83,0.372197,67,58,0.26009,1,8.0,0.0,8.0,0.0
2.440837,263,0.25,82,82,0,181,0.688213,181,0.688213,0,0.0,101,0.38403,51,0.193916,29,0.110266,153,0.581749,97,28,0.106464,1,8.0,0.0,8.0,0.0
2.696318,309,0.3,82,82,0,227,0.734628,205,0.66343,22,0.071197,102,0.330097,53,0.171521,50,0.161812,107,0.346278,126,98,0.317152,1,8.0,0.0,8.0,0.0
2.952666,352,0.35,82,82,0,270,0.767045,205,0.582386,65,0.184659,103,0.292614,50,0.142045,52,0.147727,137,0.389205,156,68,0.193182,1,8.0,0.0,8.0,0.0
3.207664,395,0.385,82,82,0,313,0.792405,204,0.516456,109,0.275949,102,0.258228,49,0.124051,53,0.134177,166,0.420253,186,38,0.096203,1,8.0,0.0,8.0,0.0
3.463105,438,0.434,268,155,113,170,0.388128,170,0.388128,0,0.0,101,0.230594,52,0.118721,17,0.038813,158,0.360731,26,12,0.027397,1,8.0,0.0,8.0,0.0
3.724179,482,0.467,268,155,113,214,0.443983,204,0.423237,10,0.020747,101,0.209544,50,0.103734,53,0.109959,70,0.145228,55,134,0.278008,1,8.0,0.0,8.0,0.0
3.986928,529,0.518,268,155,113,261,0.493384,205,0.387524,56,0.10586,104,0.196597,50,0.094518,51,0.096408,102,0.192817,86,103,0.194707,1,8.0,0.0,8.0,0.0
4.242432,573,0.568,268,155,113,305,0.532286,205,0.357766,100,0.17452,105,0.183246,50,0.08726,50,0.08726,132,0.230366,116,73,0.1274,1,8.0,0.0,8.0,0.0
4.4998,614,0.6,268,155,113,346,0.563518,203,0.330619,143,0.232899,101,0.164495,52,0.084691,50,0.081433,159,0.258958,145,44,0.071661,1,8.0,0.0,8.0,0.0
4.75436,657,0.65,268,155,113,389,0.592085,204,0.310502,185,0.281583,99,0.150685,53,0.08067,52,0.079148,190,0.289193,175,14,0.021309,1,8.0,0.0,8.0,0.0
5.013085,701,0.7,453,155,298,248,0.35378,204,0.291013,44,0.062767,101,0.14408,50,0.071327,53,0.075606,16,0.022825,16,188,0.268188,1,8.0,0.0,8.0,0.0
5.272016,746,0.736,453,155,298,293,0.392761,202,0.270777,91,0.121984,103,0.13807,48,0.064343,51,0.068365,44,0.058981,46,158,0.211796,1,8.0,0.0,8.0,0.0
5.528247,790,0.786,453,155,298,337,0.426582,204,0.258228,133,0.168354,104,0.131646,51,0.064557,49,0.062025,76,0.096203,76,128,0.162025,1,8.0,0.0,8.0,0.0
5.791098,836,0.835,453,155,298,383,0.458134,208,0.248804,175,0.20933,105,0.125598,52,0.062201,51,0.061005,111,0.132775,107,97,0.116029,1,8.0,0.0,8.0,0.0
6.049548,882,0.868,453,155,298,429,0.486395,209,0.236961,220,0.249433,106,0.120181,51,0.057823,52,0.058957,142,0.160998,137,67,0.075964,1,8.0,0.0,8.0,0.0
6.31346,928,0.918,453,155,298,475,0.511853,209,0.225216,266,0.286638,104,0.112069,54,0.05819,51,0.054957,173,0.186422,168,36,0.038793,1,8.0,0.0,8.0,0.0
6.578491,971,0.967,639,155,484,332,0.341916,208,0.214212,124,0.127703,103,0.106076,52,0.053553,53,0.054583,198,0.203913,8,10,0.010299,1,8.0,0.0,8.0,0.0
6.848194,1000,1.0,639,155,484,361,0.361,188,0.188,173,0.173,83,0.083,53,0.053,52,0.052,8,0.008,38,180,0.18,1,8.0,0.0,8.0,0.0
7.114571,1000,1.0,639,155,484,361,0.361,142,0.142,219,0.219,38,0.038,51,0.051,53,0.053,0,0.0,68,150,0.15,1,8.0,0.0,8.0,0.0
7.376067,1000,1.0,639,155,484,361,0.361,96,0.096,265,0.265,0,0.0,45,0.045,51,0.051,0,0.0,98,120,0.12,1,8.0,0.0,8.0,0.0
7.633815,1000,1.0,639,155,484,361,0.361,52,0.052,309,0.309,0,0.0,1,0.001,51,0.051,0,0.0,128,90,0.09,1,8.0,0.0,8.0,0.0
7.896132,1000,1.0,639,155,484,361,0.361,8,0.008,353,0.353,0,0.0,0,0.0,8,0.008,0,0.0,158,60,0.06,1,8.0,0.0,8.0,0.0
8.229213,1000,1.0,639,155,484,361,0.361,0,0.0,361,0.361,0,0.0,0,0.0,0,0.0,0,0.0,361,0,0.0,0,8.0,0.0,8.0,0.0
8.53274,1000,1.0,1000,155,845,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
8.836134,1000,1.0,1000,155,845,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
9.241279,1000,1.0,1000,155,845,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
9.545238,1000,1.0,1000,155,845,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
9.849065,1000,1.0,1000,155,845,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
10.253854,1000,1.0,1000,155,845,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
10.459653,1000,1.0,1000,155,845,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,0.0,8.0,0.0
