case_id,produced_at_epoch,deadline_at_epoch
0,1776662767.047161,1776662768.247161
1,1776662767.072453,1776662768.272453
2,1776662767.079205,1776662768.279205
3,1776662767.085137,1776662768.285137
4,1776662767.091020,1776662768.291020
5,1776662767.097019,1776662768.297019
6,1776662767.103151,1776662768.303151
7,1776662767.109175,1776662768.309175
8,1776662767.115669,1776662768.315670
9,1776662767.121577,1776662768.321577
10,1776662767.127450,1776662768.327450
11,1776662767.133681,1776662768.333681
12,1776662767.139837,1776662768.339837
13,1776662767.146052,1776662768.346052
14,1776662767.152097,1776662768.352097
15,1776662767.158091,1776662768.358091
16,1776662767.164000,1776662768.364000
17,1776662767.170373,1776662768.370373
18,1776662767.176571,1776662768.376571
19,1776662767.182678,1776662768.382679
20,1776662767.188890,1776662768.388890
21,1776662767.194859,1776662768.394859
22,1776662767.200878,1776662768.400878
23,1776662767.206840,1776662768.406840
24,1776662767.213179,1776662768.413179
25,1776662767.218883,1776662768.418883
26,1776662767.224819,1776662768.424819
27,1776662767.231148,1776662768.431148
28,1776662767.237478,1776662768.437478
29,1776662767.243629,1776662768.443629
30,1776662767.249553,1776662768.449553
31,1776662767.256989,1776662768.456989
32,1776662767.263290,1776662768.463290
33,1776662767.269049,1776662768.469049
34,1776662767.274944,1776662768.474944
35,1776662767.281667,1776662768.481667
36,1776662767.287707,1776662768.487707
37,1776662767.293737,1776662768.493737
38,1776662767.300166,1776662768.500166
39,1776662767.306034,1776662768.506034
40,1776662767.316315,1776662768.516315
41,1776662767.323057,1776662768.523057
42,1776662767.328854,1776662768.528854
43,1776662767.334665,1776662768.534665
44,1776662767.340485,1776662768.540485
45,1776662767.347018,1776662768.547018
46,1776662767.353077,1776662768.553077
47,1776662767.358846,1776662768.558846
48,1776662767.365251,1776662768.565251
49,1776662767.371399,1776662768.571399
50,1776662767.378747,1776662768.578748
51,1776662767.385305,1776662768.585305
52,1776662767.391176,1776662768.591177
53,1776662767.398972,1776662768.598972
54,1776662767.405205,1776662768.605205
55,1776662767.412187,1776662768.612187
56,1776662767.418102,1776662768.618102
57,1776662767.424013,1776662768.624013
58,1776662767.430382,1776662768.630382
59,1776662767.436568,1776662768.636568
60,1776662767.442426,1776662768.642426
61,1776662767.448632,1776662768.648633
62,1776662767.455162,1776662768.655162
63,1776662767.461284,1776662768.661284
64,1776662767.467083,1776662768.667084
65,1776662767.472942,1776662768.672942
66,1776662767.542718,1776662768.742718
67,1776662767.549262,1776662768.749262
68,1776662767.555382,1776662768.755382
69,1776662767.562488,1776662768.762488
70,1776662767.568742,1776662768.768742
71,1776662767.574666,1776662768.774666
72,1776662767.582009,1776662768.782009
73,1776662767.588274,1776662768.788274
74,1776662767.594150,1776662768.794150
75,1776662767.600212,1776662768.800212
76,1776662767.606433,1776662768.806433
77,1776662767.612274,1776662768.812274
78,1776662767.618265,1776662768.818265
79,1776662767.624137,1776662768.824137
80,1776662767.630225,1776662768.830225
81,1776662767.636087,1776662768.836087
82,1776662767.641973,1776662768.841973
83,1776662767.648422,1776662768.848422
84,1776662767.654738,1776662768.854738
85,1776662767.660647,1776662768.860647
86,1776662767.666522,1776662768.866522
87,1776662767.672416,1776662768.872416
88,1776662767.678308,1776662768.878308
89,1776662767.685377,1776662768.885377
90,1776662767.691236,1776662768.891236
91,1776662767.697138,1776662768.897138
92,1776662767.703457,1776662768.903457
93,1776662767.709364,1776662768.909364
94,1776662767.715508,1776662768.915508
95,1776662767.721389,1776662768.921389
96,1776662767.727404,1776662768.927404
97,1776662767.733304,1776662768.933304
98,1776662767.739177,1776662768.939177
99,1776662767.745015,1776662768.945015
100,1776662767.752036,1776662768.952036
101,1776662767.757915,1776662768.957915
102,1776662767.763807,1776662768.963807
103,1776662767.771130,1776662768.971130
104,1776662767.777030,1776662768.977030
105,1776662767.782912,1776662768.982912
106,1776662767.789538,1776662768.989538
107,1776662767.795405,1776662768.995405
108,1776662767.801241,1776662769.001241
109,1776662767.807728,1776662769.007728
110,1776662767.814122,1776662769.014122
111,1776662767.819936,1776662769.019936
112,1776662767.825803,1776662769.025803
113,1776662767.832175,1776662769.032175
114,1776662767.838384,1776662769.038384
115,1776662767.844235,1776662769.044235
116,1776662767.850191,1776662769.050191
117,1776662767.856967,1776662769.056967
118,1776662767.862873,1776662769.062873
119,1776662767.868938,1776662769.068938
120,1776662767.874822,1776662769.074822
121,1776662767.881150,1776662769.081150
122,1776662767.887365,1776662769.087365
123,1776662767.893260,1776662769.093261
124,1776662767.899339,1776662769.099339
125,1776662767.905491,1776662769.105491
126,1776662767.911476,1776662769.111476
127,1776662767.917651,1776662769.117651
128,1776662767.923517,1776662769.123517
129,1776662767.929393,1776662769.129393
130,1776662767.935362,1776662769.135362
131,1776662767.941527,1776662769.141527
132,1776662767.947413,1776662769.147413
133,1776662767.953381,1776662769.153381
134,1776662767.959678,1776662769.159678
135,1776662767.966265,1776662769.166265
136,1776662767.972298,1776662769.172298
137,1776662767.978227,1776662769.178227
138,1776662767.984092,1776662769.184092
139,1776662767.990044,1776662769.190044
140,1776662767.995914,1776662769.195914
141,1776662768.001796,1776662769.201796
142,1776662768.007623,1776662769.207623
143,1776662768.013556,1776662769.213556
144,1776662768.019829,1776662769.219829
145,1776662768.025875,1776662769.225875
146,1776662768.031759,1776662769.231759
147,1776662768.037658,1776662769.237658
148,1776662768.044190,1776662769.244190
149,1776662768.050089,1776662769.250089
150,1776662768.062028,1776662769.262028
151,1776662768.067930,1776662769.267930
152,1776662768.077561,1776662769.277561
153,1776662768.083559,1776662769.283559
154,1776662768.089510,1776662769.289510
155,1776662768.095533,1776662769.295533
156,1776662768.101707,1776662769.301708
157,1776662768.107622,1776662769.307622
158,1776662768.113493,1776662769.313493
159,1776662768.119790,1776662769.319790
160,1776662768.125659,1776662769.325659
161,1776662768.131799,1776662769.331799
162,1776662768.137630,1776662769.337631
163,1776662768.143595,1776662769.343595
164,1776662768.149431,1776662769.349431
165,1776662768.155524,1776662769.355525
166,1776662768.161488,1776662769.361488
167,1776662768.168320,1776662769.368320
168,1776662768.174161,1776662769.374161
169,1776662768.180044,1776662769.380044
170,1776662768.185944,1776662769.385944
171,1776662768.191830,1776662769.391830
172,1776662768.197570,1776662769.397570
173,1776662768.203308,1776662769.403308
174,1776662768.209776,1776662769.409776
175,1776662768.215727,1776662769.415727
176,1776662768.221979,1776662769.421979
177,1776662768.227806,1776662769.427806
178,1776662768.233642,1776662769.433642
179,1776662768.239535,1776662769.439535
180,1776662768.245743,1776662769.445743
181,1776662768.251624,1776662769.451624
182,1776662768.257432,1776662769.457432
